0.00,7287,4673,7425
0.00,7287,4673,7425
0.01,7287,4673,7425
0.01,7287,4673,7425
0.01,7287,4673,7425
0.01,7287,4673,7425
0.02,7287,4673,7425
0.02,7287,4673,7425
0.02,7287,4676,7420
0.02,7287,4676,7420
0.03,7287,4676,7420
0.03,7287,4676,7420
0.03,7287,4676,7420
0.04,7287,4676,7420
0.04,7287,4676,7420
0.04,7287,4676,7420
0.04,7287,4676,7420
0.04,7287,4676,7420
0.05,7287,4676,7420
0.05,7287,4676,7420
0.05,7287,4676,7420
0.06,7287,4676,7420
0.06,7287,4676,7420
0.06,7287,4676,7420
0.06,7287,4676,7420
0.07,7287,4673,7425
0.07,7287,4673,7425
0.07,7287,4673,7425
0.07,7287,4673,7425
0.08,7287,4673,7425
0.08,7287,4673,7425
0.08,7287,4673,7425
0.08,7287,4673,7425
0.09,7287,4673,7425
0.09,7287,4673,7425
0.09,7287,4673,7425
0.10,7287,4673,7425
0.10,7287,4673,7425
0.10,7287,4673,7425
0.10,7287,4673,7425
0.11,7287,4673,7425
0.11,7287,4673,7425
0.11,7287,4673,7425
0.11,7287,4673,7425
0.12,7287,4673,7425
0.12,7287,4673,7425
0.12,7287,4673,7425
0.12,7287,4673,7425
0.13,7287,4673,7425
0.13,7287,4673,7425
0.13,7287,4673,7425
0.13,7287,4673,7425
0.14,7287,4673,7425
0.14,7287,4673,7425
0.14,7287,4673,7425
0.15,7287,4673,7425
0.15,7287,4673,7425
0.15,7287,4673,7425
0.15,7287,4673,7425
0.16,7287,4673,7425
0.16,7287,4673,7425
0.16,7287,4673,7425
0.16,7287,4673,7425
0.17,7287,4673,7425
0.17,7287,4673,7425
0.17,7287,4673,7425
0.17,7287,4673,7425
0.18,7287,4673,7425
0.18,7287,4673,7425
0.18,7287,4673,7425
0.19,7287,4673,7425
0.19,7287,4673,7425
0.19,7287,4673,7425
0.19,7287,4673,7425
0.19,7287,4673,7425
0.20,7287,4673,7425
0.20,7287,4673,7425
0.20,7287,4676,7420
0.21,7287,4676,7420
0.21,7287,4676,7420
0.21,7287,4676,7420
0.21,7287,4676,7420
0.22,7287,4676,7420
0.22,7287,4676,7420
0.22,7287,4676,7420
0.22,7287,4676,7420
0.23,7287,4676,7420
0.23,7287,4676,7420
0.23,7287,4676,7420
0.23,7287,4676,7420
0.24,7287,4676,7420
0.24,7287,4676,7420
0.24,7287,4676,7420
0.24,7287,4676,7420
0.25,7287,4673,7425
0.25,7287,4673,7425
0.26,7287,4673,7425
0.26,7287,4673,7425
0.26,7287,4673,7425
0.26,7287,4673,7425
0.26,7282,4670,7425
0.27,7282,4670,7425
0.27,7282,4670,7425
0.27,7282,4670,7425
0.27,7282,4670,7425
0.28,7282,4670,7425
0.28,7282,4670,7425
0.28,7282,4670,7425
0.28,7282,4670,7425
0.29,7282,4670,7425
0.29,7282,4670,7425
0.29,7267,4663,7420
0.29,7267,4663,7420
0.30,7267,4663,7420
0.30,7267,4663,7420
0.30,7267,4663,7420
0.31,7267,4663,7420
0.31,7267,4663,7420
0.31,7267,4663,7420
0.31,7267,4663,7420
